id	created_at	retweet_count	text	user_id	user_name	user_screen_name	user_followers_count	user_listed_count	user_statuses_count	user_friends_count	user_favourites_count	user_location	user_desc	user_created_at	retweeted_status_id	retweeted_status_created_at	retweeted_status_retweet_count	retweeted_status_text	retweeted_status_user_id
969398927999975424	2018-03-02 02:28:09	0	[Trivia] Like the rest of her team, Tenten's character seems to draw inspiration from Chinese culture.	1313150640	 1010	Tenten_NIRP	92	2	85569	23	27		{ [V] #RP @NarutoIndo_RP }  9March #TeamGuy #NIRPFamily	2013-03-29 09:14:57						
969724208875016192	2018-03-03 00:00:42	0	The Dragon in Chinese Culture - Under the influence! https://t.co/2qluvbY87j	97770418	zteve t evans	ztevetevans	15066	698	330200	16569	12320		Writer, blogger, online publisher	2009-12-18 23:20:57						
969439859806007296	2018-03-02 05:10:48	0	RT @EscapeVelo: These fat people need to embrace Chinese culture...not be so xenophobic and bigoted. https://t.co/yEpfTVftJa	2355244596	Ford Freestar	I_AM_IRON_VAN	2812	234	182454	2904	239693	The Open road!	A Van of Action!  The Iron Lemon! Legal drug dealer and crime fighter! https://gab.ai/I_AM_IRON_VAN	2014-02-21 19:33:56	969439504531644416	2018-03-02 05:09:23	2	These fat people need to embrace Chinese culture...not be so xenophobic and bigoted. https://t.co/yEpfTVftJa	112614146	
969537264958296065	2018-03-02 11:37:51	0	RT @LeeKumKeeEurope: @CGTNOfficial Such a special part of the Chinese culture. Thanks for sharing such an amazing video so that others can	757762683974410241	Selftweet	vitaphil1	34	0	10674	87	0			2016-07-26 02:21:17	969537149480644608	2018-03-02 11:37:24	1	@CGTNOfficial Such a special part of the Chinese culture. Thanks for sharing such an amazing video so that others c https://t.co/C27EFxCQFL	1875017430	
969181025787109377	2018-03-01 12:02:17	0	I am making my partner incorporate the chinese names of the books confucius wrote to honour chinese culture	39241404	Rin  Sulay hypewoman 	junyixinqs	381	12	101874	342	144	The Netherlands	920113 // English & Korean student // EXO-L // NCT // Xingmi/Xback & Bunny citizen 	2009-05-11 12:30:40						
969293953014075392	2018-03-01 19:31:01	0	RT @visitphilly: *Shen Yun 2018* at the Merriam Theater explores over 5,000 years of Chinese culture through music and dance. The show is o	206720945	Philly Vibe	phillyvibe	1508	69	13077	1229	36		All about Philadelphia and the Delaware Valley. Featuring the places,the people,and the events that make this region a great place to be.	2010-10-23 15:30:16	969256122585624576	2018-03-01 17:00:42	1	*Shen Yun 2018* at the Merriam Theater explores over 5,000 years of Chinese culture through music and dance. The sh https://t.co/CxcdLhUhmy	14192609	
969734480704430081	2018-03-03 00:41:31	0	RT @chrisvtaylor: @guardianopinion The Chinese Communists destroyed traditional Chinese culture, suppressing plurality  as in divergent us	353442866	#SAVESOOHORANG	fibronectinrgd	2182	45	123896	998	53257	Sydney, Australia	PhD student at the Charles Perkins Centre, @Sydney_Uni. Researching diabetes, stem cells, exocytosis kinetics, tissue engineering and more! Architecture geek.	2011-08-12 02:32:31	964528901304152064	2018-02-16 15:56:24	4	@guardianopinion The Chinese Communists destroyed traditional Chinese culture, suppressing plurality  as in diverg https://t.co/2ydnAcOZ83	342155928	
970017000905957377	2018-03-03 19:24:09	0	RT @yicaichina: Performers at the #SpringFestival Gala for #traditional #Chinese #Culture and Ancient Music https://t.co/O1HulgEKOk #Chines	970002207092412416	wanetta lech	rljgyzsprzb	3	0	102	37	0		Crystal Palace FC is my obsession, sarcam is my speciality and individualit Is my way of ife. Brighton University	2018-03-03 18:25:22	969462512897929217	2018-03-02 06:40:49	12	Performers at the #SpringFestival Gala for #traditional #Chinese #Culture and Ancient Music https://t.co/O1HulgEKOk https://t.co/PjBGQlKBaB	714684004495204352	
970003583193161728	2018-03-03 18:30:50	0	RT @yicaichina: Performers at the #SpringFestival Gala for #traditional #Chinese #Culture and Ancient Music https://t.co/O1HulgEKOk #Chines	970000603819716608	asha herzog	ashaherzog5	0	0	42	26	0			2018-03-03 18:19:00	969462512897929217	2018-03-02 06:40:49	4	Performers at the #SpringFestival Gala for #traditional #Chinese #Culture and Ancient Music https://t.co/O1HulgEKOk https://t.co/PjBGQlKBaB	714684004495204352	
970007139623362562	2018-03-03 18:44:58	0	RT @yicaichina: Performers at the #SpringFestival Gala for #traditional #Chinese #Culture and Ancient Music https://t.co/O1HulgEKOk #Chines	970003928741044224	verena cerqueira	verenacerqueir6	0	0	40	49	0			2018-03-03 18:32:13	969462512897929217	2018-03-02 06:40:49	7	Performers at the #SpringFestival Gala for #traditional #Chinese #Culture and Ancient Music https://t.co/O1HulgEKOk https://t.co/PjBGQlKBaB	714684004495204352	
