id	created_at	retweet_count	text	user_id	user_name	user_screen_name	user_followers_count	user_listed_count	user_statuses_count	user_friends_count	user_favourites_count	user_location	user_desc	user_created_at	retweeted_status_id	retweeted_status_created_at	retweeted_status_retweet_count	retweeted_status_text	retweeted_status_user_id
1101516651764289536	2019-03-01 16:16:49	0	@CherylYlove @kenchengcomedy Please don't paint Yulin as a representation of Chinese culture. There are many animal https://t.co/V5j9MJWmpj	1088888767883161600	Shao-Ying B-N	tailsandtea	6	0	66	72	423			2019-01-25 19:58:07						
1101379594769248256	2019-03-01 07:12:12	0	Tired: British culture, French culture, Chinese culture  Wired: Union culture	899407884605325312	Paul Yield	paul_yield	194	3	1601	270	6954	The state Springfield's in	Inventor of the Yield sign.	2017-08-20 23:08:44						
1101527431423365120	2019-03-01 16:59:39	0	RT @VindalooKurry: Traditionally, the most important birthday in Chinese culture is the 60th. In Chinese culture 60 years is one cycle of l	1015901195959984128	choserang grandi	grandiana1	962	0	24112	336	8349	Kangkungan ni Maine	fangirling account. Menggay only since 11/26/2017. Cuz she makes me laugh. certified card-carrying mewl Not just smart, but refine! ctto Roma the horse	2018-07-08 10:11:34	1101526344540848129	2019-03-01 16:55:20	1	Traditionally, the most important birthday in Chinese culture is the 60th. In Chinese culture 60 years is one cycle https://t.co/A2dcQD9zPW	1000588328100614145	
1101507965528539136	2019-03-01 15:42:18	0	RT @TheReviewsHub: #INTERVIEW Amy Ng talks Under the Umbrella, Chinese culture and the under-representation of actors of East Asian descent	1191500480	Coventry Updates	CoventryUpdate	10845	3253	2100226	267	19809	Coventry	All the latest updates and news on Coventry traffic, road closures, newsflashes and stories.	2013-02-17 23:47:21	1101493956939079680	2019-03-01 14:46:38	3	#INTERVIEW Amy Ng talks Under the Umbrella, Chinese culture and the under-representation of actors of East Asian de https://t.co/ioar4vwqwE	54914072	
1101532308920766464	2019-03-01 17:19:02	0	Pigs are a symbol of wealth &amp; fortune in Chinese Culture. According to the Chinese New Year, 2019 is the Year of th https://t.co/wcp7QFDuF3	957762027316969472	Andrew Johnson Bank	AJBank_TN	11	0	4	0	0	Greeneville, TN	is a community bank based in Greeneville. Helping Friends is Our Business. Member FDIC, Equal Housing Lender. NMLS #489126.  http://www.ajbank.com	2018-01-28 23:47:16						
1101472276309032961	2019-03-01 13:20:29	0	#UmbrellaAcademy  In Chinese culture, 4 is unlucky since it sounds similar to how they say death. And what is Klaus https://t.co/kGzx4Ba3D1	1070114895948070912	Grey @ finally finished KH3 	Chris39452880	18	2	5040	172	11102	Kingdom Hearts hell	He, she, they (whatever you see me as)/Call me Grey/art blog/seen ITSV	2018-12-05 00:37:27						
1101563263060533248	2019-03-01 19:22:02	0	RT @TheReviewsHub: #INTERVIEW Amy Ng talks Under the Umbrella, Chinese culture and the under-representation of actors of East Asian descent	23426301	Unity Theatre	unitytheatre	16304	238	12140	802	1861	Liverpool, England	Liverpool's Entertainment Venue of the Year 2018 || Drama || Comedy || Dance || Music || Theatre	2009-03-09 11:52:33	1101493956939079680	2019-03-01 14:46:38	5	#INTERVIEW Amy Ng talks Under the Umbrella, Chinese culture and the under-representation of actors of East Asian de https://t.co/ioar4vwqwE	54914072	
1101752421985017857	2019-03-02 07:53:41	0	@KylieCocoyama The dress was inspired by Chinese culture, designed by an Italian and was first shown on a (straight https://t.co/dvHOvRW9RZ	560046845	its Terrance...	iTerryTommy	2531	92	58498	1148	13431	the cut	...with an ayyyeee | artist development & mgmt | video producer | everyone is awful	2012-04-22 04:08:46						
1101818524270542848	2019-03-02 12:16:21	0	RT @BUILDseriesNYC: I wanted to use English to respect the culture of America, and I wanted to share Chinese culture and M-Pop all over th	1591791438	LayLittleSheep	__skyglass__	65	3	8987	135	10906	Peru	instagram:__skyglass__                         snap:iamshirley1	2013-07-13 20:54:32	1058455883498315776	2018-11-02 20:28:42	11242	I wanted to use English to respect the culture of America, and I wanted to share Chinese culture and M-Pop all ove https://t.co/VRV7LCzSiq	106916931	
1101953959965540352	2019-03-02 21:14:32	0	Lion dancers from the Tucson Chinese Culture Center #TFOB So much to see! https://t.co/9LtmIFGHvY	18215046	Mary Harper	galeharrier	2386	88	47032	2631	26713	NJ and AZ	Master naturalist, environmental steward, program development consultant at Care4RFolks, and lover of good poetry and great music.	2008-12-18 14:03:43						
