id	created_at	retweet_count	text	user_id	user_name	user_screen_name	user_followers_count	user_listed_count	user_statuses_count	user_friends_count	user_favourites_count	user_location	user_desc	user_created_at	retweeted_status_id	retweeted_status_created_at	retweeted_status_retweet_count	retweeted_status_text	retweeted_status_user_id
1069035559128051717	2018-12-02 01:08:33	0	RT @GOAT_GG33: Yue Fei -&gt; born 3/24/1103=#Goat  in Chinese culture 1 of the most celebrated nat'l heroes symbol of ethics, loyalty, hope in	701576022429315073	GG33	GG33___	2091	284	97426	4983	4	WorldWide	#GG33 1st numerology brand in the metaphysical field. Created by 33 Life path/Numerologist/Astrologer/Master Teacher Garythenumbersguy @numerologynow.	2016-02-22 01:15:33	758858982555471873	2016-07-29 02:57:35	13	Yue Fei -&gt; born 3/24/1103=#Goat  in Chinese culture 1 of the most celebrated nat'l heroes symbol of ethics, loyalty, hope in difficult times	2901931796	
1069077782687170560	2018-12-02 03:56:20	0	BCZhang soft opening now. BCZhang gives you a taste of Chinese culture through authentic and delicious Chinese food. https://t.co/hmL8Ucmg4m	1069077046519783430	BCZhang	BCZhang2	0	0	1	0	0			2018-12-02 03:53:25						
1069162801371992066	2018-12-02 09:34:10	0	you knew that vixx uses Chinese culture and not Korean, right? and before vixx toppdogg did the same as many groups https://t.co/GvEZnOn95f	962514259853938688		namgitape	537	8	36168	909	12461	134340	     s  s	2018-02-11 02:30:57						
1069094436091629568	2018-12-02 05:02:31	0	@reggirah My art consists of Chinese culture, stars and my imagination! I've open a digital commission to pay all o https://t.co/3XsxJKrMmA	3792811878	Lin Shan @ Commissions OPEN!	StarryDynasty	161	4	7302	540	31744	Singapore	Illustrator & Chinese tea lover  I love jiang shi and other favs: 	2015-10-05 14:15:09						
1069179549869584384	2018-12-02 10:40:43	0	RT @IsimaOdeh: Chinese people have dumped thousands of Dolce&amp;Gabbana products in the trash over an offensive advert about Chinese culture.	1242247074	Eagle's Square 	Ette_pete	2113	3	18605	1864	21332	Calabar, Nigeria	am Pete .....A professional dancer, actor, video editor, zoologist....  God my family .for booking +234816407489  #cfc #blue blood	2013-03-04 21:31:12	1069175543311024129	2018-12-02 10:24:48	10	Chinese people have dumped thousands of Dolce&amp;Gabbana products in the trash over an offensive advert about Chinese https://t.co/MLFx8bh0I4	2496687274	
1069179557893283842	2018-12-02 10:40:45	0	RT @IsimaOdeh: Chinese people have dumped thousands of Dolce&amp;Gabbana products in the trash over an offensive advert about Chinese culture.	63709776	SC :Joeluba	datGuyJoel	1990	23	61755	1618	1191	Nigeria | ghana |  UK | London	Real Estate | Property Consultant | Entrepreneur | car sale | car leasing |J&M  Autos haven 	2009-08-07 12:45:37	1069175543311024129	2018-12-02 10:24:48	11	Chinese people have dumped thousands of Dolce&amp;Gabbana products in the trash over an offensive advert about Chinese https://t.co/MLFx8bh0I4	2496687274	
1068981381571592192	2018-12-01 21:33:16	0	This one time my English teacher was talking about Chinese culture and she looks over at the only asian guy in my c https://t.co/ubtuinT5eZ	804077555108237313	fester	esthvr2	92	1	1091	111	2845			2016-11-30 21:40:02						
1069315670851108864	2018-12-02 19:41:37	0	RT @SteelBonnetDuke: You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. You	734868766207709188	OstracisedOstrich	Durrrcules	17	0	355	88	588	Cambridge, England		2016-05-23 22:09:01	1069310628190404609	2018-12-02 19:21:35	18	You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. https://t.co/yxfD70blnY	2860964548	
1069325636886556674	2018-12-02 20:21:13	0	RT @SteelBonnetDuke: You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. You	1062308139050131456	Art O'Neill	artoneill1517	359	0	6437	984	688		Ireland	2018-11-13 11:36:11	1069310628190404609	2018-12-02 19:21:35	30	You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. https://t.co/yxfD70blnY	2860964548	
1069339339765792770	2018-12-02 21:15:40	0	RT @SteelBonnetDuke: You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. You	1052318560784019457	Sam Sheridan	SamSheridan15	274	0	4861	466	7327		https://www.youtube.com/channel/UCli71iCvbtSzohxTnTbNyIg	2018-10-16 22:01:10	1069310628190404609	2018-12-02 19:21:35	40	You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. https://t.co/yxfD70blnY	2860964548	
1069487356938379265	2018-12-03 07:03:50	0	RT @daumkeziah: To everyone causing so much negativity: I mean no disrespect to the Chinese culture. Im simply showing my appreciation to	1907502216	GX	tanguoxun	127	0	3720	94	3352	Find me.	change	2013-09-26 11:10:14	990255923598786560	2018-04-28 15:46:24	9229	To everyone causing so much negativity: I mean no disrespect to the Chinese culture. Im simply showing my apprecia https://t.co/ByvuZ2b9VN	2842576303	
1069479199268687872	2018-12-03 06:31:25	0	Crazy Rich Asians (2018) has one chance to present Chinese culture to a wider audience and yet decides to showcase https://t.co/VZDjk4nEfo	21491894	PeggyTeachesChinese	followpeggylee	764	50	6124	68	150	Taipei City, Taiwan	Founder & Owner of PeggyTeachesChinese, YouTuber, Chinese Instructor, Fulbrighter, M.A.	2009-02-21 15:23:45						
1069475878944395264	2018-12-03 06:18:14	0	thoroughly enjoyed paying a visit to a pop-up festival, Moonlight Forest, in LA that celebrated the chinese culture https://t.co/T812f1JqbI	1863079634	joyce 	joyce_linnn	251	0	1142	214	4334			2013-09-14 08:07:54						
1069488186089455616	2018-12-03 07:07:08	0	Ziwei believes that everyone should learn excellent traditional Chinese culture and abide by it after learning. The https://t.co/oJXibQlKks	3278004686	videochinatv	videochinatv	122	1	3720	180	145	Beijing	A window brings a real China to you via videos! VideochinaTV is established by China Intercontinental Communication Center.	2015-07-13 01:57:38						
1069330233868910598	2018-12-02 20:39:29	0	RT @SteelBonnetDuke: You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. You	2157151095	Nicodemus	nicodemus732	2148	1	7049	2418	29853	Tr f Thonn	Intersection of tradition & women's liberation	2013-10-28 12:27:10	1069310628190404609	2018-12-02 19:21:35	32	You'd be ethnically British. You would never be Chinese  Culture is a product of the racial stock that created it. https://t.co/yxfD70blnY	2860964548	
1068795825042599938	2018-12-01 09:15:56	0	RT @kingtalktime: Embedded deep in the DNA of Chinese culture is a total disregard for humanity, expect nothing less. https://t.co/yLuEQ73b	1021168627083456512	King Talk	kingtalktime	6	0	684	52	74	Canada, BC	Refusing to follow the Pied Piper of this troubled culture, but straining to hear a voice behind me, saying, This is the way; walk in it.	2018-07-22 23:02:27	1067740024832028672	2018-11-28 11:20:34	1	Embedded deep in the DNA of Chinese culture is a total disregard for humanity, expect nothing less. https://t.co/yLuEQ73b95	1021168627083456512	
